month,soc2d_code,employment_nsa,employment_sa,active_postings_nsa,active_postings_sa,soc2d_name,count,salary_nsa,salary_sa,rl_hiring_rate_nsa,rl_attrition_rate_nsa,rl_hiring_rate,rl_attrition_rate
2026-05-01,21,4092002,4088812,410556.0,399685.7306672258,Community and Social Service,44483.0,87430.0,87333.0,0.2997392590281306,0.2668358033659652,0.2575900872314505,0.2468232900769618
2026-06-01,21,4090811,4093405,408977.0,397104.988424479,Community and Social Service,43376.0,76427.0,73704.0,0.2919699839065796,0.2955653248987802,0.252445073716993,0.2389815519703047
2026-07-01,21,4091934,4099434,406340.0,398768.5381636568,Community and Social Service,38202.0,70837.0,72135.0,0.2562737059313223,0.2533892119671705,0.2490125629724898,0.2313627368345536
2026-08-01,21,4114691,4104761,372985.0,386985.01883776457,Community and Social Service,43226.0,73473.0,74799.0,0.3691360654718031,0.3029096525140183,0.2407958181977023,0.2252251655202743
2021-01-01,23,1802264,1798732,,,Legal,,,,0.506265666401729,0.4127952877074344,0.3173248858028701,0.2517567158753944
2021-02-01,23,1800529,1806262,,,Legal,,,,0.2236250709854448,0.2355447305352376,0.3119858713634177,0.2619494072876471
2021-03-01,23,1807319,1814454,,,Legal,,,,0.2668817384067816,0.2220303738367839,0.3288048345473334,0.2746393805068418
2021-04-01,23,1811122,1820705,,,Legal,,,,0.2525523880629506,0.2276030142349578,0.3136721282649605,0.2724719978692727
2021-05-01,23,1827648,1827010,,,Legal,,,,0.380951419883298,0.2725729902087018,0.309307140409686,0.267896810635439
2021-06-01,23,1841114,1840163,,,Legal,,,,0.3835175630753729,0.2959470505580105,0.3715050875452761,0.285735617486859
2021-07-01,23,1845997,1848972,,,Legal,,,,0.3050085754263044,0.2734526102697314,0.3370024882619709,0.2798307253212303
2021-08-01,23,1859292,1858262,,,Legal,,,,0.4590531821068982,0.3735280114609591,0.352427370563671,0.2924387463417989
2021-09-01,23,1870380,1866418,,,Legal,,,,0.4375720134973485,0.3664695440372963,0.3463964461846339,0.2939592213552618
2021-10-01,23,1884264,1875379,,,Legal,,,,0.3521315346349247,0.2638377111081876,0.352121253011796,0.2947730472208512
2021-11-01,23,1891648,1883757,,,Legal,,,,0.2871005649797631,0.2403528885717806,0.3914096502152285,0.3380458823970501
2021-12-01,23,1892206,1892006,,,Legal,,,,0.2125185842133408,0.2092286644704335,0.354872225393227,0.3025563331012237
2022-01-01,23,1904775,1901522,130003.0,147986.4775155508,Legal,17329.0,82485.0,80868.0,0.5419848318249054,0.4631432949959261,0.3474295107953195,0.2873749353990702
2022-02-01,23,1904935,1910838,140360.0,146548.104973731,Legal,16527.0,83455.0,81865.0,0.2682491071891419,0.2673005607138285,0.3665855256314157,0.3080741729793942
