soc6,title,mapping_confidence,data_confidence_score,career_evidence_index_beta,market_opportunity_score,growth_score,opening_score,wage_score,future_skill_fit_score,ai_potential_exposure_score,ai_observed_usage_score,HumanMoat_seed_equal_weight,Physicality,Judgment,Interaction,Responsibility,Context,"Employment, 2025","Employment change, percent, 2025–35","Occupational openings, 2025–35 annual average","Median annual wage, dollars, 2025","Occupational transfer rate, 2025–35 annual average",Typical education needed for entry,career_evidence_index_percentile_rank,market_opportunity_percentile_rank,future_skill_fit_percentile_rank,human_structure_percentile_rank,evidence_coverage_pct,data_confidence_label,ilo_pct,anthropic_pct,exposure_gap,abs_exposure_gap,2025 National Employment Matrix occupation code,bls_ai_mention_count,bls_ai_mention,decision_social_context_score,embodied_physicality_score,soc2d_code,soc2d_name,employment_common_2022_annualized_pct,postings_common_2022_annualized_pct,salary_common_2022_annualized_pct,rl_hiring_rate_common_2022_mean,rl_attrition_rate_common_2022_mean,net_hiring_rate_common_2022_mean
11-9121,Natural Sciences Managers | Clinical Research Coordinators | Water Resource Specialists,A,100.0,74.1,71.1,88.8,49.3,96.4,82.0,39.8,6.1,43.816319063300405,33.479692645444565,49.304793267471645,55.927552140504936,42.0417124039517,38.32784485912916,112.2,8.2,9.2,167220.0,5.4,Bachelor's degree,97.4867724867725,81.92918192918192,96.27594627594628,38.295165394402034,100.0,A,81.13095238095238,69.31216931216932,-11.818783068783064,11.818783068783064,,0,0,46.40047566776436,33.479692645444565,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-9131,Postmasters and Mail Superintendents,A,100.0,57.2,25.5,26.3,24.5,80.9,74.5,41.9,0.0,65.65605561653861,43.41383095499452,66.73984632272227,94.76399560922064,50.0,73.36260519575558,13.3,-0.3,0.9,96660.0,4.3,High school diploma or equivalent,68.18783068783068,13.186813186813188,87.24053724053724,82.44274809160305,100.0,A,83.03571428571429,27.24867724867725,-55.78703703703704,55.78703703703704,,0,0,71.21661178192463,43.41383095499452,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-9141,"Property, Real Estate, and Community Association Managers",A,100.0,58.9,53.5,59.3,46.3,61.6,65.0,35.2,16.5,59.000731796560544,40.88913282107574,69.465788510794,73.36992316136113,45.85620197585071,65.42261251372118,460.4,3.7,36.9,69990.0,3.5,High school diploma or equivalent,71.89153439153439,56.95970695970696,70.81807081807082,71.11959287531806,100.0,A,66.42857142857143,81.74603174603175,15.317460317460316,15.317460317460316,,0,0,63.52863154043175,40.88913282107574,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-9151,Social and Community Service Managers,A,100.0,71.8,67.8,85.5,46.2,73.7,82.4,36.9,18.1,66.03256494694475,36.20563483351628,65.16648371752653,82.51372118551043,68.3589462129528,77.91803878521772,231.0,7.2,18.5,80390.0,4.3,Bachelor's degree,94.9074074074074,79.12087912087912,96.7032967032967,83.07888040712467,100.0,A,69.76190476190476,82.93650793650794,13.174603174603178,13.174603174603178,,0,0,73.48929747530187,36.20563483351628,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-9161,Emergency Management Directors,A,100.0,66.1,53.8,62.0,43.8,79.2,83.8,37.7,0.0,53.422612513721184,51.55506769118185,59.69630442736919,68.10098792535675,33.479692645444565,54.28100987925357,14.0,3.9,1.1,93330.0,4.3,Bachelor's degree,86.64021164021165,57.87545787545788,98.04639804639804,58.9058524173028,100.0,A,75.23809523809524,27.24867724867725,-47.98941798941799,47.98941798941799,,0,0,53.88949871935602,51.55506769118185,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-9171,Funeral Home Managers,A,100.0,68.7,51.8,64.6,36.1,71.8,77.4,41.9,1.1,85.53018660812295,83.09549945115258,90.41346505671424,87.03622392974754,82.16245883644346,84.94328576655691,34.8,4.1,2.6,78790.0,4.3,Associate's degree,90.87301587301587,53.84615384615385,91.2087912087912,99.10941475826972,100.0,A,83.03571428571429,55.35714285714286,-27.67857142857143,27.67857142857143,,0,0,86.13885839736554,83.09549945115258,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-9179,"Personal Service Managers, All Other | Fitness and Wellness Coordinators | Spa Managers",C,100.0,64.4,64.4,81.5,43.5,61.3,77.4,36.7,12.4,55.28613245517746,45.70984266373949,60.14452982070984,83.2821075740944,19.20965971459934,68.08452250274424,25.5,6.2,2.0,69770.0,4.3,High school diploma or equivalent,83.66402116402116,74.48107448107449,91.2087912087912,61.832061068702295,100.0,A,68.69047619047619,78.70370370370371,10.01322751322752,10.01322751322752,,0,0,57.68020490303695,45.70984266373949,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
11-9199,"Managers, All Other | Regulatory Affairs Managers | Compliance Managers | Loss Prevention Managers",C,100.0,70.2,55.9,70.5,38.0,94.5,77.8,36.7,6.9,57.43706549579216,39.57494816441029,66.43493108915722,63.55287230150018,57.50548847420418,60.11708744968899,1338.8,4.9,100.9,141900.0,4.3,Bachelor's degree,93.18783068783068,62.576312576312574,92.002442002442,67.30279898218829,100.0,A,68.69047619047619,71.42857142857143,2.738095238095241,2.738095238095241,,0,0,61.902594828637646,39.57494816441029,11,Management,0.4935269665206521,-10.241352757766409,8.950929736253176,0.3143135777999322,0.307030048156918,0.007283529643014208
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",A,100.0,66.9,78.0,92.3,60.6,75.3,52.7,44.5,11.8,50.88437614343213,8.89132821075741,55.68971825832418,56.16904500548848,56.613611416026345,77.05817782656422,26.9,9.7,2.4,82890.0,4.8,Bachelor's degree,88.09523809523809,89.25518925518926,50.48840048840049,52.926208651399484,100.0,A,85.41666666666666,77.77777777777779,-7.638888888888871,7.638888888888871,,0,0,61.3826381266008,8.89132821075741,13,Business and Financial Operations,2.060955180595858,-13.625662371958791,7.098096972233492,0.35432201469571833,0.32950922859613474,0.024812786099583595
13-1021,"Buyers and Purchasing Agents, Farm Products",A,50.0,,,,,,,39.4,,62.422612513721184,14.050493962678376,72.64910354921331,78.44127332601536,56.8880351262349,90.08415660446396,,,,,,,,,,77.86259541984732,50.0,C,79.52380952380952,,,,,0,0,74.51564215148188,14.050493962678376,13,Business and Financial Operations,2.060955180595858,-13.625662371958791,7.098096972233492,0.35432201469571833,0.32950922859613474,0.024812786099583595
