outcome,ai_source,hm_spec,interaction,controls,winsor,weighted,high_mapping_conf,term,std_beta,robust_se,p_value,n,r2,adj_r2,p_fdr_bh
transfer,ilo_exposure_mean,HM_PCA1,False,True,False,False,False,AI,-0.0714963984744491,0.0576952936647454,0.2152689342627943,571,0.6819871434482967,0.6667879995689874,0.367392314475169
transfer,ilo_exposure_mean,HM_PCA1,False,True,False,False,False,HM,-0.0692139440420207,0.0361383200427701,0.0554605349934887,571,0.6819871434482967,0.6667879995689874,0.1602008451513657
transfer,ilo_exposure_mean,HM_PCA1,False,True,False,False,False,log_emp,-0.0300387593139695,0.0264181345184613,0.2555170762949307,571,0.6819871434482967,0.6667879995689874,
transfer,ilo_exposure_mean,HM_PCA1,False,True,False,False,False,education_ord,-0.5486546309135781,0.0554175309760194,4.146951545014887e-23,571,0.6819871434482967,0.6667879995689874,
transfer,ilo_exposure_mean,HM_PCA1,False,True,False,False,False,self_emp,-0.1624344246792976,0.0313143033012988,2.134475743710125e-07,571,0.6819871434482967,0.6667879995689874,
transfer,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,AI,-0.0959233904660767,0.0566014263586674,0.0901291493705295,571,0.6898925561806366,0.6744728490293975,0.2176703984797695
transfer,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,HM,-0.0857449898934846,0.0344496121784388,0.0128103957490128,571,0.6898925561806366,0.6744728490293975,0.065589226234946
transfer,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,AIxHM,-0.1106859398015061,0.0292084656635523,0.000150941259576,571,0.6898925561806366,0.6744728490293975,0.0014861908635182
transfer,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,log_emp,-0.0259400225467123,0.0260941799626,0.3201779491769237,571,0.6898925561806366,0.6744728490293975,
transfer,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,education_ord,-0.5586752054964805,0.0549172475867727,2.616210486226605e-24,571,0.6898925561806366,0.6744728490293975,
transfer,ilo_exposure_mean,HM_PCA1,True,True,False,False,False,self_emp,-0.1674264788899245,0.0306666544757772,4.77312613238822e-08,571,0.6898925561806366,0.6744728490293975,
transfer,observed_exposure,HM_equal_z,False,True,False,False,False,AI,0.0436997721378595,0.037864800334417,0.2484591076569909,565,0.6778273788672879,0.6622576982921011,0.4084791193244785
